V283 REPORT SIGNAL ENGINE startedAt=2026-06-05 23:39:38
candidateCount=24
[1/24] 005930 삼성전자 score=50 reports=1 grade=neutral
[2/24] 005380 현대차 score=50 reports=1 grade=neutral
[3/24] 105560 KB금융 score=50 reports=0 grade=neutral
[4/24] 035420 NAVER score=50 reports=1 grade=neutral
[5/24] 000660 SK하이닉스 score=50 reports=1 grade=neutral
[6/24] 039030 이오테크닉스 score=50 reports=0 grade=neutral
[7/24] 373220 LG에너지솔루션 score=50 reports=0 grade=neutral
[8/24] 000270 기아 score=50 reports=1 grade=neutral
[9/24] 010120 LS ELECTRIC score=50 reports=0 grade=neutral
[10/24] 207940 삼성바이오로직스 score=50 reports=0 grade=neutral
[11/24] 005490 POSCO홀딩스 score=50 reports=0 grade=neutral
[12/24] 079550 LIG넥스원 score=50 reports=0 grade=neutral
[13/24] 034020 두산에너빌리티 score=50 reports=0 grade=neutral
[14/24] 267260 HD현대일렉트릭 score=50 reports=0 grade=neutral
[15/24] 247540 에코프로비엠 score=50 reports=0 grade=neutral
[16/24] 277810 레인보우로보틱스 score=50 reports=0 grade=neutral
[17/24] 068270 셀트리온 score=50 reports=0 grade=neutral
[18/24] 042660 한화오션 score=50 reports=0 grade=neutral
[19/24] 012450 한화에어로스페이스 score=50 reports=0 grade=neutral
[20/24] 272210 한화시스템 score=50 reports=0 grade=neutral
[21/24] 047810 한국항공우주 score=50 reports=0 grade=neutral
[22/24] 086520 에코프로 score=50 reports=0 grade=neutral
[23/24] 196170 알테오젠 score=50 reports=0 grade=neutral
[24/24] 058470 리노공업 score=50 reports=0 grade=neutral
