code,name,foreign5D,foreign20D,foreign60D,pension5D,pension20D,pension60D,trust5D,trust20D,trust60D,finance5D,finance20D,finance60D,supplyMemo
105560,KB금융,-564466,-598987,-3020995,0,0,0,0,0,0,663290,525146,4053368,기관 순매수 우위 / 외국인 혼조 (네이버 외국인·기관 집계 기반)
096770,SK이노베이션,485396,1142275,1082215,0,0,0,0,0,0,1168745,1344406,3920612,외국인·기관 20일 동반 순매수 (네이버 외국인·기관 집계 기반)
055550,신한지주,-947418,-1650941,-1163974,0,0,0,0,0,0,1314801,2500603,3910452,기관 순매수 우위 / 외국인 혼조 (네이버 외국인·기관 집계 기반)
086790,하나금융지주,-634115,-900567,-1080758,0,0,0,0,0,0,702099,1214494,2716211,기관 순매수 우위 / 외국인 혼조 (네이버 외국인·기관 집계 기반)
003490,대한항공,2679788,4818722,12406593,0,0,0,0,0,0,2061268,4338816,15409716,외국인·기관 20일 동반 순매수 (네이버 외국인·기관 집계 기반)
010950,S-Oil,-6679,-248057,268256,0,0,0,0,0,0,417066,949695,2512909,기관 순매수 우위 / 외국인 혼조 (네이버 외국인·기관 집계 기반)
000810,삼성화재,-90921,-127700,-170139,0,0,0,0,0,0,85569,143699,233570,기관 순매수 우위 / 외국인 혼조 (네이버 외국인·기관 집계 기반)
078930,GS,283508,-917814,-1781058,0,0,0,0,0,0,-33889,1245222,3078331,기관 순매수 우위 / 외국인 혼조 (네이버 외국인·기관 집계 기반)
036930,주성엔지니어링,448351,752291,-208413,0,0,0,0,0,0,-200887,-315144,1400308,외국인 순매수 우위 / 기관 혼조 (네이버 외국인·기관 집계 기반)
006400,삼성SDI,-302766,-557336,-543708,0,0,0,0,0,0,153109,1237458,743823,기관 순매수 우위 / 외국인 혼조 (네이버 외국인·기관 집계 기반)
108490,로보티즈,247522,86228,-144100,0,0,0,0,0,0,112239,-26337,45480,외국인 순매수 우위 / 기관 혼조 (네이버 외국인·기관 집계 기반)
475630,TIGER CD1년금리액티브(합성),-1,5,147,0,0,0,0,0,0,-3884,12581,79860,외국인·기관 20일 동반 순매수 (네이버 외국인·기관 집계 기반)
039030,이오테크닉스,-62249,-269341,392538,0,0,0,0,0,0,79701,269589,-489115,기관 순매수 우위 / 외국인 혼조 (네이버 외국인·기관 집계 기반)
222800,심텍,144360,944581,-837625,0,0,0,0,0,0,-554531,-1392251,1187585,외국인 순매수 우위 / 기관 혼조 (네이버 외국인·기관 집계 기반)
005490,POSCO홀딩스,-86431,-81738,534633,0,0,0,0,0,0,115167,240146,-488299,기관 순매수 우위 / 외국인 혼조 (네이버 외국인·기관 집계 기반)
000720,현대건설,-124442,-1202459,-807093,0,0,0,0,0,0,-74037,1274618,1811330,기관 순매수 우위 / 외국인 혼조 (네이버 외국인·기관 집계 기반)
041190,우리기술투자,-62838,-1197078,871139,0,0,0,0,0,0,-129401,18188,412873,기관 순매수 우위 / 외국인 혼조 (네이버 외국인·기관 집계 기반)
004310,현대약품,-378465,-202693,-2183874,0,0,0,0,0,0,536,2585,-6518,기관 순매수 우위 / 외국인 혼조 (네이버 외국인·기관 집계 기반)
067290,JW신약,122094,-716154,-907486,0,0,0,0,0,0,44156,26271,47172,기관 순매수 우위 / 외국인 혼조 (네이버 외국인·기관 집계 기반)
267250,HD현대,22358,-83861,148107,0,0,0,0,0,0,69954,88943,27761,기관 순매수 우위 / 외국인 혼조 (네이버 외국인·기관 집계 기반)
